纳税人识别号,纳税人名称,纳税人状态名称,登记注册类型小类名称,县区局名称
3.20704E+14,连云港润资咨询中心,注销,内资合伙,国家税务总局连云港经济技术开发区税务局
3.20704E+14,连云港开发区创利铸造厂,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20704E+17,开发区残疾人星月综合厂,注销,内资合伙,国家税务总局连云港经济技术开发区税务局
3.20705E+14,连云港市华特水表厂,非正常户注销,内资合伙,国家税务总局连云港经济技术开发区税务局
3.20705E+14,连云港市华特水表厂,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20705E+14,连云港大为联合会计师事务所,注销,内资合伙,国家税务总局连云港经济技术开发区税务局
3.20705E+14,连云港金鸿建材销售中心,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
320704X08422064,连云港市华利卫生材料经营部,非正常户注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20705E+14,连云港开发区金港液化气站,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20706E+14,连云港市富达氧化镁厂,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20721E+14,连云港磐裕投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20797E+14,连云港益众投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20797E+14,连云港德裕丰投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20797E+14,连云港诺泰投资管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20798E+14,连云港开发区民通新型建材厂,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
3.20798E+14,连云港大为联合会计师事务所,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320105MA7JQ7RK3H,连云港智融春熙股权投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320105MA7M7WX3X4,连云港智融源储创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320115MA1XXK1U5U,连云港卫仁医疗科技合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700072750601W,连云港初映企业资产管理合伙企业（有限合伙）,清算,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700323681613X,连云港邦华兴奥投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MA37C47,连云港新芯投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MF52P12,连云港涌海投资管理合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MFP8Q2A,连云港康瑞企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MFW278D,连云港诺通企业资产管理合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MG0R24U,连云港涌诚股权投资合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1MM7NR5Y,连云港嘉晟节能科技合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1N3MJT4J,连云港钜衡企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320700MA1NN7H61W,连云港生命健康产业基金合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
9132070366960317XK,连云港市欧冶机械厂（普通合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320703672049480D,连云港天洲联合会计师事务所（普通合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320703MA1PXDL784,北京科家知识产权代理事务所（普通合伙）连云港分所,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320703MA1T4Q7101,连云港盛金鹏皓股权投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320703MA21W15Q30,连云港雄凯投资合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320703MA2276M238,连云港翊翎启迪创业投资合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320703MA22K53M4E,连云港常青藤股权投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
9.13207E+17,连云港彼达咨询中心,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320761MAD7DRQFX0,连云港锦盛投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1W08NN49,连云港和昶企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1W0FHW95,连云港舟映企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1W48U96D,连云港锋诚创业投资合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1W48YQ0B,连云港锋连创业投资合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1WBD4M9T,连云港舟虹企业管理合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1WHK7K31,连云港和灵股权投资基金合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1WW6U427,连云港市诚泽管理咨询合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1WX8TX4P,连云港市泽瑞管理咨询合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1XD0WP86,连云港经济技术开发区产业发展基金（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1XDP4M3J,连云港C盛经开产业投资基金（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1YE2E19U,连云港经济技术开发区新海连创业投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA1YXLGA0T,连云港岸海商贸合伙企业(有限合伙),注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA2013MX4C,连云港顺同连圣管理咨询合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA20QQ4K25,连云港广合信诚管理咨询合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA20YNH07T,连云港苏马湾工程管理咨询服务合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA21DKW6XW,连云港泰全医药科技合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA21DMB021,连云港经济技术开发区药港产业投资基金合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA21KE0M9R,连云港天汇创新创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA220DU929,连云港惟贤企业管理合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA220DWA33,连云港惟怀企业管理合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA220DYUXG,连云港惟能企业管理合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA220E0T8B,连云港俊德企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA220E1FXN,连云港惟明企业管理合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA222A8B16,江苏连云港鸿瑞企业管理合伙企业(有限合伙),正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA22A9NF0D,连云港汇贤企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA22BD2R1X,连云港八月十五企业管理合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA22M3RK6Y,连云港惟智企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA22M73511,连云港惟贞企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA22M99L6G,连云港惟熙企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA22MG7B0U,连云港惟仁企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA23D86Q74,连云港医药人才创业投资基金（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA254E6542,连云港嘉瑞禾盛管理咨询合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA25626H0T,连云港天汇创业投资管理顾问中心（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA25AEX758,江苏连云港天马控股合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA25LLEH56,连云港市大德工程咨询合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA25MPJK8M,连云港市裕通工程咨询合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA26Q6WLXF,连云港智融企业管理合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA26RBBF6E,连云港天时运营管理合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA26UG951W,连云港德润丰管理咨询合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA26WQWW7L,连云港汇众企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA26XHDC3P,连云港讯通产业投资基金合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA270FG939,连云港经济技术开发区青石产业投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA274T809K,连云港云禾企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA275W810Y,连云港众一企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA27L52T54,连云港智融润凯股权投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA27MDMY06,连云港交银股权投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA27NAF80F,连云港智融芳华股权投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA27PCH713,连云港易德企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA27PGCG46,连云港九通企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA27TNMY6G,连云港奇恒企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA7DJG0339,连云港海装智能投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA7DQ64K99,连云港市金桥新兴产业基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA7EN6PU9G,连云港联碱投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MA7NFK4P7N,连云港丰泰天荣企业管理顾问中心（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABMELGR36,连云港连星投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABNF1C767,连云港锦鑫咨询管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABP9NH0XF,连云港锦威咨询管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABPAHTJ0Y,连云港硅实投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABR62Q728,连云港远腾企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABR9L9L79,连云港天驰企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABR9M3Q23,连云港玖欣企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABRR5AM6C,连云港星联光迅投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABT1CT650,连云港智融弘N股权投资合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABT3WKW65,连云港经济技术开发区新诚乡村产业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABT3WR76H,连云港自贸试验区新诚产业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABU571B7T,连云港天汇优成创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABUEGPJ9U,连云港经济技术开发区新诚新材料投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABUEGUY3C,连云港经济技术开发区新诚新能源投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABUEGYA2M,连云港经济技术开发区新诚新医药投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABWJPF70B,连云港清创企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MABWRQ5221,北京红梵知识产权代理事务所（普通合伙）连云港分所,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC1D8F91X,连云港f景九天股权投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC1KHDJ3H,连云港宝缇娜美容合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC1QLXK2N,连云港禾集创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC2CFC2XR,连云港慧华医药合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC2R82K6D,连云港碳三投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC3DWJM0X,连云港嘉澳股权投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC3M05971,连云港市金控现代服务业投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC4Y5E43Y,连云港海微近岸投资管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC542916C,连云港天汇创智创业投资管理顾问中心（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC5A38K0C,连云港浩永投资管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC5ADX11C,连云港市金控文化产业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC5J7F52N,连云港芙莱特企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC5W67K2X,连云港天汇盈创创业投资管理中心（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC5X6FR6M,连云港兆新智电投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC5YPFH1G,连云港天汇人才创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC61DF27D,连云港易丰晟鸿企业管理合伙企业（有限合伙）,非正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC68GEG1F,连云港国昌创投管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC6AWRD4A,连云港志同和光企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC7N6CG44,连云港市吉呈企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC80W3967,连云港聚瑞创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAC8BK6Y75,连云港市人才创业投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACBXHF6X8,连云港米趣投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACD25FF3E,连云港冠兴鸿泰商务咨询合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACD88L0X0,连云港金桥药志股权投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACE79C27J,连云港劢麓赐豆芾砗匣锲笠担ㄓ邢藓匣铮,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACEGP0R84,连云港盛诚管理咨询合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACFHRJT71,连云港华瑞企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACGHTGH63,连云港瑞思管理咨询合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACH027F7J,连云港鼎尖科创发展合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACH5PBQ2H,连云港百星企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACHKGB665,连云港凌月投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACJDQFU9Q,连云港拓弘企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACJL9AM90,连云港诺雅创投合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACL82HH4R,连云港钧鑫妙妍新兴产业创业投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACLL44Q19,连云港市彬彬教育投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACLPA7H52,连云港达之宏商贸合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACM4UE871,连云港玄之武智能科技合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACMUP6F1D,连云港钧鑫小为科技创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACN3GPGXU,连云港和元道一投资管理中心（有限合伙）,清算,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACNP6JT0J,连云港联瑾生物科技合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACNYD9N6N,连云港国科芯成新兴产业创业投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACPKTKQX4,连云港皓之坤企业管理合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACPTYP286,连云港宇诺企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACQP26H1G,连云港市海洋产业投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACR05YA54,连云港希冀股权投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACTLULEX6,连云港风之雅商贸合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACU63AP55,连云港沐光股权投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACU64560Y,连云港繁星股权投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACW6R5M6B,连云港云之诺商贸合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACX29K95B,连云港智融辰安创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACX2A0A94,连云港泰嘉投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MACXRNDCXN,连云港乔恩娜企业管理合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD03FUN7T,连云港建英科技合伙企业（普通合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD03G7PXM,连云港善璞创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD12E799M,连云港坤威企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD1B2CX33,连云港润丰企业服务合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD31PG92H,连云港博亦创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD3WKN17Y,连云港君沐企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD46QQ46N,连云港智融高端智能制造产业投资管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD50B2750,连云港旭创新材料技术合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD57KPX74,连云港钧鑫鑫华章新能源产业基金合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD5K0127Y,连云港科维合创企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD6HA559A,连云港裕弘信息咨询合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD6HGAW8N,连云港硕丰投资管理中心（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD6QDEY07,连云港华青企业管理咨询合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD6R4UR65,连云港福佑投资管理中心（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD75R5P4F,连云港欣能新兴产业创业投资基金合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD79L7165,连云港正乾投资管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD7HWB58X,连云港科维企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD7HWHM57,连云港佑康企业管理咨询合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD8WR8317,连云港淳戳号创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD944WY3U,连云港智融云帆创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD99DRB55,连云港众腾归谷管理咨询合伙企业（有限合伙）,注销,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MAD9TDRW6D,连云港乐达壹号投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADA34M157,连云港辰梦企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADAD2CD9U,连云港乾耀创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADAL7RX54,连云港众领企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADANJKP97,连云港瑞牛运营管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADAWFBY37,连云港诺德健康产业投资管理（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADCGNRA53,连云港博懿壹号创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADCQABQ33,连云港晋乾企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADHAT2L43,连云港天问国链创业投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADJGNQ70A,连云港经远企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADKWNPR69,连云港盈动数智管理咨询合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91320791MADMK7T708,连云港市港城能源发展中心（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91330205MA290RGA6R,连云港翊翎鼎栩尊选投资合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91330523MA2D5AWK47,连云港观志企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91370783MA3TM2PA56,连云港港华信息咨询服务中心（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91440101MA59KW6L00,连云港善用企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
91440101MA59KW7H4Y,连云港惟聪企业管理合伙企业（有限合伙）,正常,私营合伙企业,国家税务总局连云港经济技术开发区税务局
