园区名称,省份,城市,地区,详细地址,大约面积(亩),企业数
江西青山湖高新技术产业园区,江西省,南昌市,青山湖区,东升大道566号,1762,836
江铜集团南昌高新产业园北区,江西省,南昌市,青山湖区,南昌市青山湖区青山湖区高新区高新大道1129号,754,8
南昌综合保税区(火炬三路),江西省,南昌市,青山湖区,高新区火炬三路189号,612,30
南昌出口加工区(火炬三路),江西省,南昌市,青山湖区,南昌市高新区火炬三路189号,571,20
南昌临江商务区,江西省,南昌市,青山湖区,南昌市青山湖区湖西新建区(南昌高新开发区)高新大道1158,415,34
中兴南昌科技园,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖管理处(南昌高新开发区)艾溪湖北路688号,396,114
江西恒源科技园,江西省,南昌市,青山湖区,南昌市青山湖区弼水溪附近,389,23
金圣工业科技园,江西省,南昌市,青山湖区,南昌市青山湖区湖西新建区(南昌高新开发区)京东大道201,326,5
南昌民营科技园,江西省,南昌市,青山湖区,南昌市青山湖区塘山镇高新大道696号,290,288
中国(江西)针织服装创意产业园,江西省,南昌市,青山湖区,南昌市青山湖区广州路744附近,273,147
联创电子声像科技园,江西省,南昌市,青山湖区,南昌市青山湖区高新开发区京东大道1699号,236,8
方大科技园(高新大道),江西省,南昌市,青山湖区,南昌市青山湖区高新开发区高新大道1189号,233,5
深国际南昌综合物流港,江西省,南昌市,青山湖区,南昌市青山湖区高椅山二路1318号,195,3
南昌市兆驰科技工业园,江西省,南昌市,青山湖区,南昌市青山湖区朱桥东路与胡家路交叉口西150米,193,2
江西长力工业园,江西省,南昌市,青山湖区,南昌市青山湖区南昌高新区创新一路,176,6
湖坊工业园,江西省,南昌市,青山湖区,南昌市青山湖区顺外路658号,174,200
联创光电科技园,江西省,南昌市,青山湖区,南昌市青山湖区高新开发区京东大道168号,167,59
车仆(南昌)汽车用品产业园,江西省,南昌市,青山湖区,南昌市青山湖区东升大道1688附近,161,8
丰树南昌物流园,江西省,南昌市,青山湖区,南昌市青山湖区冠山管理处,154,-
南昌电子信息(LED)产业创新示范园,江西省,南昌市,青山湖区,南昌市青山湖区昌东大道1111号,153,99
699文化创意园(699创意工场),江西省,南昌市,青山湖区,南昌市青山湖区上海路699号,109,124
森宇小微产业基地,江西省,南昌市,青山湖区,南昌市青山湖区昌东工业区昌东工业园东升大道1599号,105,51
昌东工业区湖坊镇工业园,江西省,南昌市,青山湖区,南昌市青山湖区昌东西路,101,153
正邦科技工业园,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖一路569东北方向190米,101,61
万科创智公园,江西省,南昌市,青山湖区,艾溪湖管理处艾溪湖北路188号万科海上传奇,98,484
江西芒果电商产业园有限公司,江西省,南昌市,青山湖区,南昌市青山湖区东泰大道811号,97,50
江南园,江西省,南昌市,青山湖区,南昌市青山湖区罗家镇,94,26
百特集团,江西省,南昌市,青山湖区,南昌市青山湖区青山湖高新技术产业园区东升大道699号,91,26
江西省防灾减灾科技园,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖二路323号,90,2
江西鄱阳湖旅游企业集团工业园,江西省,南昌市,青山湖区,南昌市青山湖区南昌昌东工业区沈桥路899号,87,11
瑞信工业园,江西省,南昌市,青山湖区,南昌市青山湖区高新开发区富大有路中段,85,12
江西品牌服饰产业园,江西省,南昌市,青山湖区,南昌市青山湖区义坊路38号正西方向190米,83,60
万年青科技园,江西省,南昌市,青山湖区,南昌市青山湖区(南昌高新开发区)京东大道399号,82,62
昌东工业园区义坊村物流产业园,江西省,南昌市,青山湖区,南昌市青山湖区昌东大道,80,5
创业梦想街区创新工场(高新欧洲工业园),江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖管理处高新区高新技术产业开发区京东大道1189号欧洲工业园,78,63
鸿海高新中心,江西省,南昌市,青山湖区,南昌市青山湖区高新七路898附近,78,48
娃哈哈南昌工业园区,江西省,南昌市,青山湖区,南昌市青山湖区民营科技园民营大道,78,-
亿栢嘉进外工业园,江西省,南昌市,青山湖区,南昌市青山湖区南昌昌东工业区东泰大道666号,73,75
瀚泓·青湖产业园,江西省,南昌市,青山湖区,南昌市青山湖区南昌市高新区青山湖大道336号新三中对面,72,3
泰豪高新工业园,江西省,南昌市,青山湖区,南昌市青山湖区紫阳大道辅路,70,895
泰豪科技园,江西省,南昌市,青山湖区,南昌市青山湖区(南昌高新开发区)高新大道590号,69,20
进顺物流园,江西省,南昌市,青山湖区,南昌市青山湖区石桥路199号,67,109
江西恒大文化教育产业园,江西省,南昌市,青山湖区,高新七路与艾湖路街口西北20米,66,34
江西智慧公共安全产业园,江西省,南昌市,青山湖区,南昌市青山湖区东泰大道888号,65,56
江西流量经济产业基地,江西省,南昌市,青山湖区,南昌市青山湖区京东镇月坊胡村168号,65,213
泰豪软件园,江西省,南昌市,青山湖区,南昌市青山湖区湖西火炬大街918号,64,334
科陆电子信息产业园,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖四路1066号,63,11
浙江大学国家大学科技园(江西),江西省,南昌市,青山湖区,南昌市青山湖区京东大道与火炬四路交叉口西北约20米,62,92
太酷云介时尚产业园,江西省,南昌市,青山湖区,南昌市青山湖区青山湖大道198号,60,6
邓坊产业园,江西省,南昌市,青山湖区,南昌市青山湖区谢佛路1489号,59,23
雅言人文化教育创意产业园,江西省,南昌市,青山湖区,南昌市青山湖区创新二路80号,53,128
南昌平思电子产业园,江西省,南昌市,青山湖区,南昌市青山湖区谢埠路胡氏产业园东侧约130米,53,1
罗万工业园,江西省,南昌市,青山湖区,南昌市青山湖区高新大道688号,52,15
南昌高新区创业中心孵化基地,江西省,南昌市,青山湖区,南昌市青山湖区火炬五路719号,50,273
天佑医药物流园,江西省,南昌市,青山湖区,南昌市青山湖区白水湖路与英雄七路交叉口南200米,50,-
南昌大学国家大学科技园,江西省,南昌市,青山湖区,湖西新建区(南昌高新开发区)高新大道589号,49,132
康华园,江西省,南昌市,青山湖区,南昌市青山湖区东华大道1附近,48,206
鸿兴产业园,江西省,南昌市,青山湖区,南昌市青山湖区胡家路789号,44,15
江西跨境电商产业园,江西省,南昌市,青山湖区,解放东路899号,43,109
鸿雁小微企业创业园,江西省,南昌市,青山湖区,南昌市青山湖区洪都中大道158号鸿雁电子广场,42,49
江西国信医药谷,江西省,南昌市,青山湖区,南昌市青山湖区南京东路898号,40,217
江西二十一世纪钢铁园,江西省,南昌市,青山湖区,南昌市青山湖区昌东工业区青山路街道东升大道889号,38,14
国家文化科技融合基地(建设中),江西省,南昌市,青山湖区,南昌市青山湖区火炬五路与东箭路交叉路口东侧(绿地玫瑰城),38,-
昌东胡家村产业园,江西省,南昌市,青山湖区,东升大道与昌南大道交叉口东南150米,37,6
博涵服装创意园,江西省,南昌市,青山湖区,南昌市青山湖区昌东工业区高新南大道2666号易佰家对面,36,23
南昌高新创业园(新经济产业园),江西省,南昌市,青山湖区,南昌市青山湖区高新二路18号,35,199
联合创业,江西省,南昌市,青山湖区,南昌市青山湖区高新大道1807号,35,183
先锋电子商务产业园,江西省,南昌市,青山湖区,南昌市青山湖区火炬大街948号,34,325
桃湖产业园,江西省,南昌市,青山湖区,南昌市青山湖区京东镇京东大道719号,34,117
黄氏产业园,江西省,南昌市,青山湖区,南昌市青山湖区南昌昌东工业区昌东大道与胡家路交叉口,33,28
南昌国家大学科技城(高航大厦),江西省,南昌市,青山湖区,南昌市青山湖区高新区火炬五路899号,33,419
江西省人力资源服务产业园,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖管理处高新技术产业开发区绿地玫瑰城203栋,33,241
春秋创新园,江西省,南昌市,青山湖区,南昌市青山湖区紫阳大道2888号正南方向60米,32,6
驭世界中国南昌电子竞技文化产业园,江西省,南昌市,青山湖区,南昌市青山湖区洪都中大道古德宾馆正对面,32,39
进顺工业园(国量检测产业园),江西省,南昌市,青山湖区,南昌市青山湖区民安路255号,31,12
碧朗产业园,江西省,南昌市,青山湖区,南昌市青山湖区昌东工业区东升大道1299号,30,17
优唐星创智慧园,江西省,南昌市,青山湖区,南昌市青山湖区塘山镇民营科技园民安路169号(优唐体育馆前台),29,174
泓泰创新科技园,江西省,南昌市,青山湖区,南昌市青山湖区高新六路116号,28,46
广阳村创业家园,江西省,南昌市,青山湖区,创新一路与艾溪湖南路交叉口南380米,27,-
江西数字科普产业园,江西省,南昌市,青山湖区,南昌市青山湖区火炬大街801号,27,60
通汇医药科技园,江西省,南昌市,青山湖区,南昌市青山湖区塘山镇高新大道民富路209号,25,27
中国服务外包产业示范园,江西省,南昌市,青山湖区,南昌市青山湖区湖西新建区京东大道与火炬四路交叉口西北200米,25,66
贤湖实业园内,江西省,南昌市,青山湖区,南昌市青山湖区青山湖大道民安路329号,25,18
胡氏产业园,江西省,南昌市,青山湖区,谢埠路与志强路交叉口东北120米,24,4
建昌工业园,江西省,南昌市,青山湖区,南昌市青山湖区高新一路203号,24,156
江西省电力设计院软件园,江西省,南昌市,青山湖区,南昌市青山湖区高新六路68号附近,23,5
赣江教育科技文化产业园,江西省,南昌市,青山湖区,南昌市青山湖区湖坊镇顺外路800号,21,237
佳帮产业园,江西省,南昌市,青山湖区,南昌市青山湖区昌运路36号,19,6
中核科技园,江西省,南昌市,青山湖区,南昌市青山湖区金圣路96号,19,65
中汇科技园(昌东西路),江西省,南昌市,青山湖区,南昌市青山湖区南昌昌东工业区昌东西路,19,34
翔凡产业园,江西省,南昌市,青山湖区,南昌市青山湖区君来路与谢佛路交叉口南200米,17,-
东站电商小镇,江西省,南昌市,青山湖区,南昌市青山湖区昌东工业区义坊路1599号,17,3
浙大科技园D区,江西省,南昌市,青山湖区,南昌市青山湖区京东大道与火炬四路交汇处向北100米西北方向20米,15,21
南塘村小产业园,江西省,南昌市,青山湖区,南昌市青山湖区青山湖区高新开发区创新一路,15,19
艾湖产业小区,江西省,南昌市,青山湖区,南昌市青山湖区京东大道106号,14,14
国家软件园,江西省,南昌市,青山湖区,南昌市青山湖区(南昌高新开发区)火炬大街559号,13,1
江西乐教科技产业基地,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖管理处紫阳大道3399号,12,1
高新区创业中心加速器,江西省,南昌市,青山湖区,南昌市青山湖区艾溪湖管理处京东大道456号高新区创业中心,9,8
欣诺科技园,江西省,南昌市,青山湖区,南昌市青山湖区火炬六路附近,9,-
溯清文创园,江西省,南昌市,青山湖区,解放东路李坝供电局东北150米,5,1
青山湖数字经济产业园,江西省,南昌市,青山湖区,东升大道1177号,-,50
南昌高新科创园,江西省,南昌市,青山湖区,工业园七路140号,-,-
青湖产业园2区,江西省,南昌市,青山湖区,青山湖火炬二路与青山湖大道交界,-,6
江南云港数字产业园,江西省,南昌市,青山湖区,解放东路2222号,-,91
南昌高新技术产业开发区,江西省,南昌市,青山湖区,紫阳大道294附近,-,55
奥欣豪实业园,江西省,南昌市,青山湖区,南昌市青山湖区昌东大道188号奥欣豪实业园,-,15
双创品牌江西孵化中心,江西省,南昌市,青山湖区,南昌市青山湖区京东南大道天香佳苑东北侧约290米,-,-
湖坊村工贸城,江西省,南昌市,青山湖区,南昌市青山湖区顺外路658号,-,10
江西省跨境电商创业示范园,江西省,南昌市,青山湖区,南昌市青山湖区(南昌高新开发区)京东大道1189号,-,63
江西青山湖高新科技创新孵化中心,江西省,南昌市,青山湖区,南昌市青山湖区南昌昌东工业区东升大道圣济药业有限公司旁边,-,15
大学生科技创业孵化园,江西省,南昌市,青山湖区,南昌市青山湖区华西路与知行路交叉口西南方向60米,-,-
新经济产业园,江西省,南昌市,青山湖区,南昌市青山湖区科锐路,-,13
江西智能5G+VR产业园,江西省,南昌市,青山湖区,南昌市青山湖区绿地玫瑰城202-203栋,-,154
南昌优素文化创意园,江西省,南昌市,青山湖区,南昌市青山湖区塘山镇民营科技园科技大道68号,-,18
顺外工业园,江西省,南昌市,青山湖区,南昌市青山湖区东泰大道888号,-,10
华东交通大学科技园,江西省,南昌市,青山湖区,南昌市青山湖区昌北区经济技术开发区双港东大街808号华东交通大学南区逸夫楼附近,-,-
中国服务外包示范区南昌国家高新技术产业开发区,江西省,南昌市,青山湖区,南昌市青山湖区火炬大街与高新七路交叉口东100米,-,7
贝贝果果创意园,江西省,南昌市,青山湖区,南昌市青山湖区解放西路81号凯德广场沃尔玛3楼斜梯口,-,61
南昌国家农业科技园区,江西省,南昌市,青山湖区,南昌市青山湖区皇姑路1号附近,-,-
南昌工程学院科技园(国家大学科技园),江西省,南昌市,青山湖区,南昌市青山湖区塘山镇江大南路59号,-,207
江西电力工业园,江西省,南昌市,青山湖区,南昌市青山湖区慈母路与解放东路交叉口东南150米,-,3
顺天世界之窗物联网产业园,江西省,南昌市,青山湖区,南昌市青山湖区民强路10号,-,21
广联盛世广告文化产业园,江西省,南昌市,青山湖区,南昌市青山湖区创新一路广阳村工业园3号楼,-,-
江西省数字出版产业园,江西省,南昌市,青山湖区,南昌市青山湖区金庐南路280附近,-,16
8090创客产业园(8090梦工厂),江西省,南昌市,青山湖区,南昌市青山湖区青山湖大道72附近,-,11
中国服务外包产业示范园,江西省,南昌市,青山湖区,南昌市青山湖区昌东大道688号,-,2
南昌市新建经济开发区,江西省,南昌市,新建区,璜溪大道19号,8941,1194
国家南昌经济技术开发区,江西省,南昌市,新建区,枫林西大街568号,5337,2825
南昌溪霞国家农业综合开发现代农业园区,江西省,南昌市,新建区,南昌市新建区茶花路与樱花路交叉口西北方向160米,2544,278
江中药谷,江西省,南昌市,新建区,南昌市新建区招贤大道1号,1948,5
新绿色中医药产业现代中医药生产基地,江西省,南昌市,新建区,南昌市新建区新建区-慈菇路,1321,13
中国(南昌)中医药科创城,江西省,南昌市,新建区,南昌市新建区赣江新区新祺周东大道99号,1210,102
南昌综合保税区(保税大街),江西省,南昌市,新建区,樵舍镇,785,47
罗亭工业园,江西省,南昌市,新建区,南昌市新建区张坊路302号,668,100
长堎外商投资工业区,江西省,南昌市,新建区,南昌市新建区工业大道366号南100米,614,118
南昌轨道交通产业园,江西省,南昌市,新建区,南昌市新建区梦庐大道与梦庐大道辅路交叉口西南方向180米,494,40
康佳半导体产业园,江西省,南昌市,新建区,秀先路999号,408,-
长堎工业园,江西省,南昌市,新建区,南昌市新建区320国道北50米,396,48
欧菲光临空园区,江西省,南昌市,新建区,南昌市新建区G70福银高速出口处,343,-
临空临港工业园1期,江西省,南昌市,新建区,南昌市新建区金水大道与港隆路交叉路口往西北约100米,312,13
南昌欧菲光1号园区,江西省,南昌市,新建区,黄家湖西路1588号,311,-
万纬南昌空港物流园,江西省,南昌市,新建区,新祺周管理处新祺周2路,304,-
台商工业园(青岚大道),江西省,南昌市,新建区,南昌市青山湖区双港西大街1199号西南方向130米,290,153
南昌欧菲光2号园区,江西省,南昌市,新建区,南昌市青山湖区龙潭路188号,277,4
南昌欧菲光3号园区,江西省,南昌市,新建区,南昌市青山湖区枫林大道1177号附近,277,4
临空临港智造园2期,江西省,南昌市,新建区,南昌市新建区港隆路,275,-
智能光电产业园,江西省,南昌市,新建区,南昌市新建区黄堂西街与祥和三路交叉路口往东约230米,271,9
江西中再生循环经济示范基地,江西省,南昌市,新建区,南昌市新建区武功山大道与320国道交叉口东北150米,269,1
万纬南昌昌北冷链园区,江西省,南昌市,新建区,保税六路与嘉茂一交汇处西100米,261,-
贵源低碳产业园,江西省,南昌市,新建区,南昌市新建区罗亭大道与105国道交叉口西150米,252,96
桑海医药产业园(建设中),江西省,南昌市,新建区,南昌市新建区新祺周西大道旁边,205,-
中南高科南昌新建数字化智造产业园,江西省,南昌市,新建区,宁远大街,194,82
南昌金开集团机电科技产业园,江西省,南昌市,新建区,南昌市青山湖区经济开发区丁香路88号,192,7
顺丰丰泰产业园·南昌,江西省,南昌市,新建区,南昌市青山湖区友安路丰树物流产业园斜对面,184,-
南昌通源工业园,江西省,南昌市,新建区,南昌市青山湖区昌北区昌北经济开发区枫林大道1548号,182,3
骏思科技产业园,江西省,南昌市,新建区,南昌市青山湖区昌西大道2168号,181,-
国科集团南昌科技园1期,江西省,南昌市,新建区,南昌市青山湖区建业大道999号,180,-
爱环仕智能酒店设备科技产业园,江西省,南昌市,新建区,坚磨大道与启阳街交叉口东160米,179,2
联东U谷·南昌临空科技产业综合体,江西省,南昌市,新建区,南昌市新建区樵舍镇金水大道与港隆路交汇处南,178,3
民熙临空物流园,江西省,南昌市,新建区,港兴路519号,178,2
鼎迅生态科技工业城丁香工业村,江西省,南昌市,新建区,南昌市青山湖区昌北经济开发区丁香路111号丁香工业园,177,10
江西城投科创生态新城,江西省,南昌市,新建区,南昌市新建区梦山大道,173,-
江西鑫润物流园,江西省,南昌市,新建区,武功山大道江西五十铃汽车有限公司西侧,167,7
南昌欣旺达新能源产业园(一期),江西省,南昌市,新建区,经开大道3788号,159,-
先科(南昌)电子工业园,江西省,南昌市,新建区,经济技术开发区经济技术开发区黄家湖西路428号,150,2
南昌汇港供应链产业园,江西省,南昌市,新建区,经开大道以西曰修东路与友安路交叉口,142,-
南昌金开集团电子信息产业园,江西省,南昌市,新建区,南昌市青山湖区经开大道888号,136,1
江西邮政跨境电商产业园,江西省,南昌市,新建区,南昌市新建区综合保税区保税大街168号,135,10
南昌中小微企业创业孵化基地,江西省,南昌市,新建区,南昌市新建区黄堂东街688号,130,21
江西华中产业园,江西省,九江市,永修县,九江市永修县永昌大道37号,122,8
赣江新区医疗器械产业园,江西省,南昌市,新建区,神农西大道92号,115,-
创客绿色科技产业园,江西省,南昌市,新建区,昌西大道与玉屏西大街交叉口东北200米,112,18
科瑞普光电产业园,江西省,南昌市,新建区,南昌市新建区儒乐湖大街333东北方向180米,91,5
新能源汽车产业园,江西省,南昌市,新建区,望贤路与官马街交叉口西北80米,88,1
南昌傲农华中科技园,江西省,南昌市,新建区,南昌市青山湖区白水湖管理处经开区昌北大道188号,88,8
昱博科技园,江西省,南昌市,新建区,秀先路与英雄大道交叉口北160米,86,20
电子信息产业园(联博)三期,江西省,南昌市,新建区,友安路电子系统产业园(联博)三期,85,1
江西芯诚集成电路产业园,江西省,南昌市,新建区,金山大道与金山大道出口交叉口东180米,79,3
康富科技园,江西省,南昌市,新建区,青山湖区经开区横山二路1133号,78,-
望城工业区,江西省,南昌市,新建区,南昌市新建区兴业大道81号,72,54
安源高新技术工业园,江西省,南昌市,新建区,南昌市青山湖区菊圃路与青岚大道交叉口西南150米,67,-
白水湖工业园,江西省,南昌市,新建区,南昌市青山湖区丰和北大道入口与港口大道交叉口东南50米,66,-
宝莱特科技园,江西省,南昌市,新建区,南昌市青山湖区英雄三路368,64,5
赛维莱科技城,江西省,南昌市,新建区,南昌市青山湖区北山路259号,63,42
唐人科技文化产业园,江西省,南昌市,新建区,南昌市青山湖区蛟桥镇麦园瑞香路900号,53,70
百瑞国际康复医疗科技产业园,江西省,南昌市,新建区,新祺周桑海经济开发区迎宾大道3号,48,1
清华科技园(玉屏东大街),江西省,南昌市,新建区,南昌市青山湖区玉屏东大街299号,42,77
绿地华为健康大数据中心,江西省,南昌市,新建区,金云东路与纵五北路交叉口东300米,37,-
南昌金开集团中小企业园,江西省,南昌市,新建区,南昌市青山湖区建业大街与车塘湖路交汇处,35,-
佳铭特智慧科技园,江西省,南昌市,新建区,高椅山一路299号,34,6
赛维莱国际企业城,江西省,南昌市,新建区,南昌市青山湖区白水湖路388号,28,341
新建区电子商务产业孵化基地,江西省,南昌市,新建区,南昌市新建区长富大道239号附近,26,39
巨汇9号产业园,江西省,南昌市,新建区,南昌市新建区江西长堎外商投资工业区工业大道大都会100米,25,5
安培产业园,江西省,南昌市,新建区,南昌市新建区新祺周四路,25,-
中国南昌人力资源服务产业园,江西省,南昌市,新建区,南昌市青山湖区双港西大街与桂苑大道交叉口西南100米,23,3
江西北大科技园,江西省,南昌市,新建区,南昌市青山湖区双港西大街528号,21,5
国亿(江西)科创园,江西省,南昌市,新建区,南昌市青山湖区经济技术开发区高椅山二路518号,20,-
雷公坳文化体育产业园,江西省,南昌市,新建区,南昌市青山湖区枫生快速路雷公坳8号,15,26
中国(南昌)跨境电子商务综合试验区,江西省,南昌市,新建区,保税大街168号附近,15,26
天高集团南昌工业园,江西省,南昌市,新建区,南昌市青山湖区玉屏西大街767号,14,-
国家南昌经济技术开发区(广兰大道),江西省,南昌市,新建区,经济技术开发区,-,-
铜基新材料产业园,江西省,南昌市,新建区,官马街与坚磨大道交叉处西60米,-,-
中文传媒富盈合新零售产业园(建设中),江西省,南昌市,新建区,百丈山路与出版路和平路西北220米,-,-
南昌修正资本桑海产研基地,江西省,南昌市,新建区,G316与新祺周五路交叉口附近,-,-
南昌经开区创业孵化基地,江西省,南昌市,新建区,南昌市青山湖区北山路北50米,-,7
南昌金开集团技术协同创新园,江西省,南昌市,新建区,南昌市青山湖区经济技术开发区秀先路999号,-,-
万科万创科技城,江西省,南昌市,新建区,南昌市新建区朱家自然村东北,-,1
财购青年创业园,江西省,南昌市,新建区,南昌市青山湖区枫林东路与枫林北路交叉口东北50米,-,98
南昌市退役军人创业孵化示范基地,江西省,南昌市,新建区,罗亭大道,-,-
中技所赣江新区科创中心,江西省,南昌市,新建区,南昌市青山湖区双港西大街与上罗路交叉路口往东南约150米,-,2
江西农业大学高新农业科技园,江西省,南昌市,新建区,南昌市青山湖区志敏大道与创新路交汇处向东500米,-,-
小微创业园,江西省,南昌市,新建区,天宁东路北,-,5
江西英豪傅睿教育产业园,江西省,南昌市,新建区,南昌市青山湖区玉屏西大街767号,-,4
维科电子产业园,江西省,南昌市,新建区,南昌市新建区坚磨大道,-,3
欧菲光科技园,江西省,南昌市,新建区,南昌市青山湖区龙潭路东100米,-,-
昌北经济开发区,江西省,南昌市,新建区,南昌市青山湖区公寓东路与公寓南路交叉口东北方向50米,-,-
湾里油画产业基地,江西省,南昌市,新建区,南昌市新建区双马石路与磨盘山南路交叉口南150米,-,4
东华理工大学科技园,江西省,南昌市,新建区,南昌市青山湖区枫林大道892号,-,-
航天科技园(双港西大街),江西省,南昌市,新建区,双港西大街928号,-,2
科骏ARdEZ PARK增强现实产业园,江西省,南昌市,新建区,南昌市新建区长堎镇子实路1589号,-,6
南昌航空城,江西省,南昌市,南昌县,南昌市南昌县麻丘镇昌东,7000,49
小蓝经济技术开发区(北区),江西省,南昌市,南昌县,富山东大道1168号,3396,1899
航空工业洪都航空城北区,江西省,南昌市,南昌县,南昌市南昌县高新区,3192,19
航空工业洪都产业园,江西省,南昌市,南昌县,航空城大道与鹰翔一路交叉口南160米,2773,1
小蓝经济技术开发区(小蓝大道),江西省,南昌市,南昌县,小蓝东大道与迎宾中大道交叉口西北100米,1409,444
国鸿食品产业园区,江西省,南昌市,南昌县,南昌市南昌县X045(蒋巷中大道),735,-
华勤千亿产业园,江西省,南昌市,南昌县,天祥北大道与航空城大道交叉口西北460米,642,12
欧菲科技未来城,江西省,南昌市,南昌县,高新区航空城大道,591,-
千亿建筑科技产业园,江西省,南昌市,南昌县,南昌市南昌县抚生西路,489,474
绿地金融产业园(江西金融产业园),江西省,南昌市,南昌县,南昌市南昌县绿地大道888号(麻丘公交站附近),463,230
华盟物流园,江西省,南昌市,南昌县,南昌市南昌县银湖二路198号,427,71
国槐工业园,江西省,南昌市,南昌县,南昌市南昌县金沙二路1388号,397,16
泰豪(南昌)小蓝工业园,江西省,南昌市,南昌县,南昌市南昌县小蓝经济开发区汇仁大道266号,363,270
南昌佳海产业园,江西省,南昌市,南昌县,南昌市南昌县天祥大道凯美家具贸易有限公司旁正西方向180米,334,139
京东亚洲一号南昌向塘物流园,江西省,南昌市,南昌县,南昌市南昌县莲溪大道,329,1
南昌欧菲光5号园区,江西省,南昌市,南昌县,南昌市南昌县天祥大道东200米,328,10
南昌高新电子产业园一期,江西省,南昌市,南昌县,天祥北大道1717号,292,4
平安星城物流园,江西省,南昌市,南昌县,南昌市南昌县向塘镇星城西大道,289,-
洪甬国际物流园奇佳园区,江西省,南昌市,南昌县,南昌市南昌县向塘镇银河西路奇佳大道1号,260,5
南昌国家医药国际创新园,江西省,南昌市,南昌县,南昌市南昌县天祥北大道,259,11
江西德道产业园,江西省,南昌市,南昌县,小蓝经济开发区,244,15
江西恒大高新技术股份有限公司瑶湖生产基地,江西省,南昌市,南昌县,南昌市南昌县瑶湖西六路,240,14
小蓝创业园,江西省,南昌市,南昌县,南昌市南昌县富山一路1167号,231,183
宇培南昌物流园,江西省,南昌市,南昌县,南昌市南昌县南昌市天祥北大道与沿河路交叉口,230,1
南昌龙旗科技园,江西省,南昌市,南昌县,南昌市南昌县昌东镇瑶湖西七路高新投资集团,230,-
中节能江西低碳园,江西省,南昌市,南昌县,南昌市南昌县天祥大道699号,230,12
南昌向塘铁路口岸物流园,江西省,南昌市,南昌县,南昌市南昌县向塘镇丁新大道,224,4
南昌传化公路港,江西省,南昌市,南昌县,南昌市南昌县汇仁大道988号,221,147
南昌航空科创城,江西省,南昌市,南昌县,航空城大道与266乡道交叉口东南120米,218,29
平安不动产向塘工业物流园,江西省,南昌市,南昌县,工业大道与星城大道交叉口北220米,215,5
南昌佳海产业园2期,江西省,南昌市,南昌县,佳海产业园二期(瑶湖西五路南),212,82
龚杏产业园,江西省,南昌市,南昌县,南昌市南昌县小蓝经济开发区富山一路1318号,204,279
龚杏·高新现代产业综合城,江西省,南昌市,南昌县,昌东镇(南昌高新开发区)天祥大道瑶湖西五路666号,196,6
汇仁堂医药产业园,江西省,南昌市,南昌县,南昌市南昌县昌东镇瑶湖西七路55号,195,-
日日顺南昌物流产业园,江西省,南昌市,南昌县,南昌市南昌县武阳镇莲武路胡华桥旁,185,-
